"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 26 17:02:32 CST 2020","Wed Aug 26 17:02:39 CST 2020","6367","case.mis","test_end","TestEnd","","","test_end",""
"passed","Thu Aug 27 16:49:41 CST 2020","Thu Aug 27 16:49:49 CST 2020","8275","case.mp","test_pub_aritcle","TestPubAritcle","","","test_pub_ari[BJ23_TESTER_FCNB_{}-很想找一份月薪2W的工作！！-人工智能-新增文章成功]",""
"passed","Thu Aug 27 16:49:27 CST 2020","Thu Aug 27 16:49:41 CST 2020","13308","case.mp","test_pub_aritcle","TestPubAritcle","","","test_pub_ari[BJ23_TESTER_NB_{}-很想找一份工作！！-软件测试-新增文章成功]",""
"passed","Thu Aug 27 16:49:50 CST 2020","Thu Aug 27 16:49:56 CST 2020","6396","case.mp","test_end","TestEnd","","","test_end",""
"passed","Wed Aug 26 16:57:16 CST 2020","Wed Aug 26 16:57:24 CST 2020","7803","case.mp","test_pub_aritcle","TestPubAritcle","","","test_pub_ari[BJ23_TESTER_FCNB_{}-很想找一份月薪2W的工作！！光头也帅2-人工智能-新增文章成功]",""
"passed","Wed Aug 26 17:02:26 CST 2020","Wed Aug 26 17:02:27 CST 2020","1260","case.mis","test_mis_login","TestMisLogin","","","test_mis_login",""
"passed","Wed Aug 26 17:02:18 CST 2020","Wed Aug 26 17:02:18 CST 2020","1","case.mis","test_begin","TestBegin","","","test_begin",""
"passed","Wed Aug 26 17:02:27 CST 2020","Wed Aug 26 17:02:32 CST 2020","5277","case.mis","test_aritcal_manage","TestAricalMana","","","test_aduit_ari_pass",""
"passed","Thu Aug 27 16:49:17 CST 2020","Thu Aug 27 16:49:17 CST 2020","0","case.mp","test_begin","TestBegin","","","test_begin",""
"passed","Thu Aug 27 16:49:24 CST 2020","Thu Aug 27 16:49:26 CST 2020","1934","case.mp","test_mp_login","TestMpLogin","","","test_mp_login",""
"passed","Wed Aug 26 16:57:02 CST 2020","Wed Aug 26 16:57:15 CST 2020","12993","case.mp","test_pub_aritcle","TestPubAritcle","","","test_pub_ari[BJ23_TESTER_NB_{}-很想找一份月薪2W的工作！！光头也帅1-软件测试-新增文章成功]",""
